occupation,uri,description,essential_skills,essential_knowledge,optional_skills,optional_knowledge
health psychologist,http://data.europa.eu/esco/occupation/976c7f50-7f9e-4347-bbb9-f0dc842046a3,"Health psychologists deal with the various aspects of health related behaviour of individuals and groups, by helping individuals or groups prevent illness and promote healthy behaviours by also providing counseling services. They perform tasks for the development of health promotion activities and projects on the basis of psychological science, research findings, theories, methods and techniques. They also engage in research about health related issues to influence public policy on health care issues.","http://data.europa.eu/esco/skill/dc721884-85c9-4cce-a34f-ecb1d67b129a,http://data.europa.eu/esco/skill/90ccd1bc-af3f-4c04-b2dd-bef2ba62905d,http://data.europa.eu/esco/skill/f9faf3a5-1b4a-43c2-be0e-ad389c8a8685,http://data.europa.eu/esco/skill/3e8e862d-2f1a-40c6-bb6d-d1d7eeb78854,http://data.europa.eu/esco/skill/0e0e4af2-4af8-40f5-8460-99e7401733c6,http://data.europa.eu/esco/skill/fcfe276a-ee17-490b-b179-3ceba754eba7,http://data.europa.eu/esco/skill/557820b5-b503-45f4-a7a0-6ace64b162a4,http://data.europa.eu/esco/skill/2475cd27-8d6c-4318-a364-21395b23acba,http://data.europa.eu/esco/skill/9fcf9918-fdef-49c3-aedc-518eb1e7e1f5,http://data.europa.eu/esco/skill/09d48285-7d78-4f27-878c-e54fd0c75cee,http://data.europa.eu/esco/skill/beb7712f-5a8a-4a4d-b75c-e3165a3da7cd,http://data.europa.eu/esco/skill/604fa3e6-bc8d-423e-b7e8-c0ba2416eaa4,http://data.europa.eu/esco/skill/4d614c92-0c48-4a11-a5ed-416b34fd50d2,http://data.europa.eu/esco/skill/c65aa043-98da-4136-9877-494e72d9e4cf,http://data.europa.eu/esco/skill/e16a68b0-490f-4a1d-a9d1-afc08a21f1e7,http://data.europa.eu/esco/skill/8232979d-6aa4-40c9-a12b-5152a52a76b8,http://data.europa.eu/esco/skill/90a7db00-9262-482d-b50c-12d12b7a7d98,http://data.europa.eu/esco/skill/60a63e4c-f71d-48ec-8b57-c1e059370478,http://data.europa.eu/esco/skill/b55f61a4-5f9e-4741-ba95-9ac04b64119b,http://data.europa.eu/esco/skill/0f551181-e1af-47e2-b2d8-ff9f4e011ecd,http://data.europa.eu/esco/skill/1ae16f1c-a959-4164-8f8c-e8c1aaecf7d5,http://data.europa.eu/esco/skill/1553446e-ee05-435a-91a6-acfe7f848432,http://data.europa.eu/esco/skill/bcd2ce08-ba12-4d66-865f-f4ba36419707,http://data.europa.eu/esco/skill/aec8ca21-4a5c-4ca6-ab60-939580010d39,http://data.europa.eu/esco/skill/049c8caf-dd12-45fc-9bfa-b64051f32a19,http://data.europa.eu/esco/skill/ce0d6a42-59c1-433e-ab62-adfc969c46bb,http://data.europa.eu/esco/skill/335c86f4-683e-410d-a708-ab1bb8985b10,http://data.europa.eu/esco/skill/94f2935b-b4ac-446e-9775-60b4239d016c,http://data.europa.eu/esco/skill/98eb1f3b-3480-416b-bd4b-811946f7e347,http://data.europa.eu/esco/skill/e9e08a59-f697-434c-a955-39623650be9d,http://data.europa.eu/esco/skill/16636767-c215-4cf0-b126-e144fea20926,http://data.europa.eu/esco/skill/e18a6a3c-4f26-4141-8c72-4b4f01d77914,http://data.europa.eu/esco/skill/ac6ff889-328b-46ea-a8ee-e196443b2447,http://data.europa.eu/esco/skill/d93f9e29-9740-4231-8486-13d377b99f05,http://data.europa.eu/esco/skill/60b2dd49-c677-4f47-816e-aff3b577e113,http://data.europa.eu/esco/skill/e54dc9c5-0f7f-4503-9776-efff47902602,http://data.europa.eu/esco/skill/0b5aaee4-c948-4853-bf8d-b9cd6c4917ee,http://data.europa.eu/esco/skill/3d3db1e7-b041-495e-8a93-deeacded8a2f,http://data.europa.eu/esco/skill/13724e7d-b946-4773-915e-9621340237bc,http://data.europa.eu/esco/skill/32fff719-0b03-4370-a0f4-25abbce2f221,http://data.europa.eu/esco/skill/66f8d657-ce46-4a8c-a3f5-60ff7fb6ba35,http://data.europa.eu/esco/skill/a9528a4e-1b25-4439-9b97-9df5795d4e10,http://data.europa.eu/esco/skill/22d363fa-45c0-46fd-a68d-e90182ae9791,http://data.europa.eu/esco/skill/76395873-7fe2-4f9a-b4b6-9932f8cbd0b4,http://data.europa.eu/esco/skill/ead14c9a-9a19-4119-8303-5f5c78761c24,http://data.europa.eu/esco/skill/093b43df-7bbf-46ed-8ddc-fad2368f2498,http://data.europa.eu/esco/skill/f8156f6b-5e03-455c-a764-098cfcb64475,http://data.europa.eu/esco/skill/f90d4810-8bac-4e5e-b870-3e35a4138ff7,http://data.europa.eu/esco/skill/4d3541fa-3e71-4574-afa9-900ff6a2b33d,http://data.europa.eu/esco/skill/cc8432ff-580c-4141-8008-73ef890d3827,http://data.europa.eu/esco/skill/51e79cb4-fab3-404c-88f3-cd4a1bd5879e,http://data.europa.eu/esco/skill/7bdcdadb-146c-475f-8cff-921c6fd5f858,http://data.europa.eu/esco/skill/a17286c5-238d-4f0b-bc24-29e9121345de,http://data.europa.eu/esco/skill/eba85523-6ad2-4cd9-9b27-a0b6a39b8cfa,http://data.europa.eu/esco/skill/48a63f52-60e3-433a-bd10-7e38d3e503fa,http://data.europa.eu/esco/skill/097098fc-6d89-44e9-9305-98ac5c0a78ac,http://data.europa.eu/esco/skill/aa238394-8126-4ada-be2f-9dfe065cf314,http://data.europa.eu/esco/skill/d3eccb86-f02d-4950-bfbd-20b9510774a1","http://data.europa.eu/esco/skill/ea28ce13-e620-4191-95c3-3e0f0f867834,http://data.europa.eu/esco/skill/08591546-e9bc-47fc-97b3-8663b3713a5f,http://data.europa.eu/esco/skill/4b3c8605-819d-4b38-83fc-f23663e78dc9,http://data.europa.eu/esco/skill/f7464f30-662b-4177-85a0-3df9693e9e58,http://data.europa.eu/esco/skill/603c249b-ed35-457a-a1ea-f850e687fefe,http://data.europa.eu/esco/skill/7aff2d0c-790a-47e2-a1c3-206eb0fc74d9,http://data.europa.eu/esco/skill/50b631f8-1ed7-46f5-9b47-96169d06c726,http://data.europa.eu/esco/skill/5dfcc46a-4fb1-453c-961b-5d41bf077433,http://data.europa.eu/esco/skill/748780fa-b879-4a5b-80ca-7d018e6e1e6f,http://data.europa.eu/esco/skill/d5f629b3-7974-4938-ae50-66cc4a3b7010,http://data.europa.eu/esco/skill/8e261d1c-12c0-498e-bfc2-ec0c16496c68,http://data.europa.eu/esco/skill/dff7260b-0879-4d4a-98db-0866c64e08ec,http://data.europa.eu/esco/skill/14ef75cd-ca1f-49c9-9478-ee611b7778fc,http://data.europa.eu/esco/skill/0ffed47f-d320-48cf-988d-40449825085c,http://data.europa.eu/esco/skill/33c01497-8264-4773-81dd-6096ad512f02,http://data.europa.eu/esco/skill/ea357ba5-3d11-441f-841c-7d85ff11dd9e,http://data.europa.eu/esco/skill/bfe4f330-d595-48c7-ab3c-f309471d6953,http://data.europa.eu/esco/skill/8f5d6a1b-32fa-4c3f-b3d6-5f070d2e0f74,http://data.europa.eu/esco/skill/7159e587-c7cb-4ec0-a662-03e1dee2cccb,http://data.europa.eu/esco/skill/a9ccf7f8-6aeb-4eae-a0c8-4d30bc523aac,http://data.europa.eu/esco/skill/b9b572bf-5e50-4588-8aa0-a42a49332467,http://data.europa.eu/esco/skill/c388229c-484d-42ec-ac28-ffad52020138,http://data.europa.eu/esco/skill/9b7f6e90-50af-4d18-a6bb-9de1accbead8,http://data.europa.eu/esco/skill/f9f258e3-4728-4107-9e08-293d5d2ef65e","http://data.europa.eu/esco/skill/7ecd9100-1deb-4df5-91d3-5f25d4ca450e,http://data.europa.eu/esco/skill/c82f9319-cf46-4257-a8ce-542d0a7fed8f,http://data.europa.eu/esco/skill/cc69175e-c35d-4494-8844-e71385ccce4a,http://data.europa.eu/esco/skill/7714b4a3-afa9-4517-a721-bd879a750893,http://data.europa.eu/esco/skill/774ef528-897a-4076-a1fc-249ca021eb50,http://data.europa.eu/esco/skill/e724205b-6b9a-45b4-b629-cd32a6c80b4f,http://data.europa.eu/esco/skill/2c9f2122-093d-4660-908e-dac8fbdc33fa,http://data.europa.eu/esco/skill/905e8db4-0429-4abf-a11d-8df2547f4cff","http://data.europa.eu/esco/skill/97e077b3-c517-4cd9-9486-0818b1da6a90,http://data.europa.eu/esco/skill/9ed54677-459f-4442-9917-995a3b970f96,http://data.europa.eu/esco/skill/d5e39a53-4f54-4d5f-9df3-b49664c9559d,http://data.europa.eu/esco/skill/ccd4c7a9-fd9e-42d3-85e8-f9b83e6b2215"
clinical psychologist,http://data.europa.eu/esco/occupation/c3c8c56c-b3ab-4425-a38a-abcace020d22,"Clinical psychologists diagnose, rehabilitate, and support individuals affected by mental, emotional, and behavioural disorders and problems as well as mental changes and pathogenic conditions through use of cognitive tools and appropriate intervention. They use clinical psychological resources on the basis of psychological science, its findings, theories, methods, and techniques for the investigation, interpretation, and prediction of human experience and behaviour.","http://data.europa.eu/esco/skill/c634630b-210b-4da5-b0f3-894cc292d6e3,http://data.europa.eu/esco/skill/b55f61a4-5f9e-4741-ba95-9ac04b64119b,http://data.europa.eu/esco/skill/2ccb197e-ce8d-4fca-bccf-f387e74b9f0a,http://data.europa.eu/esco/skill/beb7712f-5a8a-4a4d-b75c-e3165a3da7cd,http://data.europa.eu/esco/skill/7714b4a3-afa9-4517-a721-bd879a750893,http://data.europa.eu/esco/skill/0f551181-e1af-47e2-b2d8-ff9f4e011ecd,http://data.europa.eu/esco/skill/f9faf3a5-1b4a-43c2-be0e-ad389c8a8685,http://data.europa.eu/esco/skill/0b5aaee4-c948-4853-bf8d-b9cd6c4917ee,http://data.europa.eu/esco/skill/b9127c16-955c-4aa3-9786-2c784ae378f9,http://data.europa.eu/esco/skill/e9d8829d-5835-4100-a541-5c28b860cfc6,http://data.europa.eu/esco/skill/19bf4fdc-c0aa-40c5-b531-35ed408067a8,http://data.europa.eu/esco/skill/5410f054-8e2b-4950-aa10-5f48107a68e7,http://data.europa.eu/esco/skill/097098fc-6d89-44e9-9305-98ac5c0a78ac,http://data.europa.eu/esco/skill/9fcf9918-fdef-49c3-aedc-518eb1e7e1f5,http://data.europa.eu/esco/skill/51e79cb4-fab3-404c-88f3-cd4a1bd5879e,http://data.europa.eu/esco/skill/d93f9e29-9740-4231-8486-13d377b99f05,http://data.europa.eu/esco/skill/d3eccb86-f02d-4950-bfbd-20b9510774a1,http://data.europa.eu/esco/skill/c2e7273c-f15d-4ef3-be3c-4fa7da33396e,http://data.europa.eu/esco/skill/8232979d-6aa4-40c9-a12b-5152a52a76b8,http://data.europa.eu/esco/skill/7d8ca06a-f737-4927-96f2-de4f2cd15895,http://data.europa.eu/esco/skill/0e0e4af2-4af8-40f5-8460-99e7401733c6,http://data.europa.eu/esco/skill/110833ee-c4f1-4856-9b7f-7e49ffda537f,http://data.europa.eu/esco/skill/19c1237d-8760-4820-b245-9648ba7abf62,http://data.europa.eu/esco/skill/90cf93e8-5714-4be9-8fc8-c9e9f68e6c6d,http://data.europa.eu/esco/skill/94f2935b-b4ac-446e-9775-60b4239d016c,http://data.europa.eu/esco/skill/4d3541fa-3e71-4574-afa9-900ff6a2b33d,http://data.europa.eu/esco/skill/aa238394-8126-4ada-be2f-9dfe065cf314,http://data.europa.eu/esco/skill/ad2552dc-fa50-417f-8d05-493089242fd2,http://data.europa.eu/esco/skill/efaef6b2-1435-436f-94b6-ead3bcf0db9c,http://data.europa.eu/esco/skill/eb9f8a48-4be4-434b-be9d-293ff5c07f97,http://data.europa.eu/esco/skill/f90d4810-8bac-4e5e-b870-3e35a4138ff7,http://data.europa.eu/esco/skill/7fd3b5e4-8f7c-461c-8faa-203cf4b2b0fc,http://data.europa.eu/esco/skill/98eb1f3b-3480-416b-bd4b-811946f7e347,http://data.europa.eu/esco/skill/a17286c5-238d-4f0b-bc24-29e9121345de,http://data.europa.eu/esco/skill/b6446f23-37fb-42b0-95d2-f9324767500a,http://data.europa.eu/esco/skill/e9e08a59-f697-434c-a955-39623650be9d,http://data.europa.eu/esco/skill/049c8caf-dd12-45fc-9bfa-b64051f32a19,http://data.europa.eu/esco/skill/aec8ca21-4a5c-4ca6-ab60-939580010d39,http://data.europa.eu/esco/skill/60b2dd49-c677-4f47-816e-aff3b577e113,http://data.europa.eu/esco/skill/3d3db1e7-b041-495e-8a93-deeacded8a2f,http://data.europa.eu/esco/skill/ac6ff889-328b-46ea-a8ee-e196443b2447,http://data.europa.eu/esco/skill/604fa3e6-bc8d-423e-b7e8-c0ba2416eaa4,http://data.europa.eu/esco/skill/48a63f52-60e3-433a-bd10-7e38d3e503fa,http://data.europa.eu/esco/skill/7ecd9100-1deb-4df5-91d3-5f25d4ca450e,http://data.europa.eu/esco/skill/10c11836-683d-45db-872d-3ec8aee4d37c,http://data.europa.eu/esco/skill/5591ec30-b8a4-4498-8f23-945c915175bd,http://data.europa.eu/esco/skill/342af3a1-4fdc-4ddc-898a-bb82a7f62efe,http://data.europa.eu/esco/skill/7bdcdadb-146c-475f-8cff-921c6fd5f858,http://data.europa.eu/esco/skill/e18a6a3c-4f26-4141-8c72-4b4f01d77914,http://data.europa.eu/esco/skill/093b43df-7bbf-46ed-8ddc-fad2368f2498,http://data.europa.eu/esco/skill/c7a989eb-a8dc-4ecb-9944-3bbac9088c3c,http://data.europa.eu/esco/skill/402ebc59-b960-400c-9a6d-ab96e601b71a,http://data.europa.eu/esco/skill/c65aa043-98da-4136-9877-494e72d9e4cf,http://data.europa.eu/esco/skill/76395873-7fe2-4f9a-b4b6-9932f8cbd0b4,http://data.europa.eu/esco/skill/d40fc63c-558e-4107-8b19-fde1dae16eb5,http://data.europa.eu/esco/skill/66f8d657-ce46-4a8c-a3f5-60ff7fb6ba35,http://data.europa.eu/esco/skill/13724e7d-b946-4773-915e-9621340237bc,http://data.europa.eu/esco/skill/eba85523-6ad2-4cd9-9b27-a0b6a39b8cfa,http://data.europa.eu/esco/skill/8ad984cf-6506-42ee-8d15-0ac571be0354,http://data.europa.eu/esco/skill/4d614c92-0c48-4a11-a5ed-416b34fd50d2,http://data.europa.eu/esco/skill/557820b5-b503-45f4-a7a0-6ace64b162a4,http://data.europa.eu/esco/skill/478da040-fb0a-4fa8-9112-285ff5c4aefa,http://data.europa.eu/esco/skill/2475cd27-8d6c-4318-a364-21395b23acba,http://data.europa.eu/esco/skill/bcd2ce08-ba12-4d66-865f-f4ba36419707,http://data.europa.eu/esco/skill/ce0d6a42-59c1-433e-ab62-adfc969c46bb,http://data.europa.eu/esco/skill/efafc59d-a2bc-4f10-b681-edd0053f3de7,http://data.europa.eu/esco/skill/e54dc9c5-0f7f-4503-9776-efff47902602,http://data.europa.eu/esco/skill/16636767-c215-4cf0-b126-e144fea20926,http://data.europa.eu/esco/skill/8d68f734-078b-4df5-b346-b75a2b1814b6","http://data.europa.eu/esco/skill/1edc9d4c-66b5-4268-9b7c-917d3e4b4dc7,http://data.europa.eu/esco/skill/9c1e94ad-6c81-4fce-bc16-f7cf2e730cf0,http://data.europa.eu/esco/skill/603c249b-ed35-457a-a1ea-f850e687fefe,http://data.europa.eu/esco/skill/f7464f30-662b-4177-85a0-3df9693e9e58,http://data.europa.eu/esco/skill/bfe4f330-d595-48c7-ab3c-f309471d6953,http://data.europa.eu/esco/skill/7aff2d0c-790a-47e2-a1c3-206eb0fc74d9,http://data.europa.eu/esco/skill/0ffed47f-d320-48cf-988d-40449825085c,http://data.europa.eu/esco/skill/08591546-e9bc-47fc-97b3-8663b3713a5f,http://data.europa.eu/esco/skill/74e49482-75e8-4637-bdb1-fff868d02f7a,http://data.europa.eu/esco/skill/1493ddb4-9a46-4e00-b9c8-d8e1c64e8f34,http://data.europa.eu/esco/skill/68c5d392-22f4-4b2c-847b-d18a34c22fea,http://data.europa.eu/esco/skill/b9b572bf-5e50-4588-8aa0-a42a49332467,http://data.europa.eu/esco/skill/1bfd3bf6-a289-4c30-b0b0-16aae3434c39,http://data.europa.eu/esco/skill/c388229c-484d-42ec-ac28-ffad52020138,http://data.europa.eu/esco/skill/6d7bafbc-dea9-42aa-96ca-c5b8ab47417f,http://data.europa.eu/esco/skill/9b7f6e90-50af-4d18-a6bb-9de1accbead8,http://data.europa.eu/esco/skill/8f5d6a1b-32fa-4c3f-b3d6-5f070d2e0f74,http://data.europa.eu/esco/skill/748780fa-b879-4a5b-80ca-7d018e6e1e6f,http://data.europa.eu/esco/skill/6c252ea9-e7df-4f82-8035-7d7ee742ff0e,http://data.europa.eu/esco/skill/8e261d1c-12c0-498e-bfc2-ec0c16496c68,http://data.europa.eu/esco/skill/4b3c8605-819d-4b38-83fc-f23663e78dc9,http://data.europa.eu/esco/skill/f9f258e3-4728-4107-9e08-293d5d2ef65e,http://data.europa.eu/esco/skill/14ef75cd-ca1f-49c9-9478-ee611b7778fc,http://data.europa.eu/esco/skill/8a9e00a5-b795-4cde-b744-ec2f2ce4ed88,http://data.europa.eu/esco/skill/d5f629b3-7974-4938-ae50-66cc4a3b7010,http://data.europa.eu/esco/skill/ea28ce13-e620-4191-95c3-3e0f0f867834,http://data.europa.eu/esco/skill/5dfcc46a-4fb1-453c-961b-5d41bf077433,http://data.europa.eu/esco/skill/c0c08d3e-3215-4197-ac64-00a4f7371d80,http://data.europa.eu/esco/skill/33c01497-8264-4773-81dd-6096ad512f02,http://data.europa.eu/esco/skill/2e49f58a-a8d3-400e-b7bd-d8f8bc703a3e","http://data.europa.eu/esco/skill/5fd64399-aff4-459e-8d78-510acf1abba1,http://data.europa.eu/esco/skill/e724205b-6b9a-45b4-b629-cd32a6c80b4f,http://data.europa.eu/esco/skill/cc69175e-c35d-4494-8844-e71385ccce4a,http://data.europa.eu/esco/skill/8eab4e4f-03f8-4a66-a830-ec4e5db43253,http://data.europa.eu/esco/skill/ddb8588c-7b89-4f38-ab5b-0d3e60b8c34d,http://data.europa.eu/esco/skill/780f2c9e-4847-479b-bd46-c5886f98245a,http://data.europa.eu/esco/skill/774ef528-897a-4076-a1fc-249ca021eb50,http://data.europa.eu/esco/skill/d94cdb45-ce0c-4e1e-8149-1998127f627c,http://data.europa.eu/esco/skill/fca51799-19db-434b-b18a-3d5ea2d2ffb2,http://data.europa.eu/esco/skill/c82f9319-cf46-4257-a8ce-542d0a7fed8f,http://data.europa.eu/esco/skill/1907a2d7-c974-4ff2-ab08-d0324515a200,http://data.europa.eu/esco/skill/905e8db4-0429-4abf-a11d-8df2547f4cff,http://data.europa.eu/esco/skill/35f1f02e-f1b9-44a2-92d3-032a16fe586e","http://data.europa.eu/esco/skill/97e077b3-c517-4cd9-9486-0818b1da6a90,http://data.europa.eu/esco/skill/d5e39a53-4f54-4d5f-9df3-b49664c9559d,http://data.europa.eu/esco/skill/9ed54677-459f-4442-9917-995a3b970f96,http://data.europa.eu/esco/skill/7159e587-c7cb-4ec0-a662-03e1dee2cccb,http://data.europa.eu/esco/skill/ccd4c7a9-fd9e-42d3-85e8-f9b83e6b2215,http://data.europa.eu/esco/skill/2f216b61-b755-46a3-8c9f-289690358a26,http://data.europa.eu/esco/skill/18591ccc-3c25-43eb-871a-b0fefeee3b93,http://data.europa.eu/esco/skill/80d3bfd0-5781-4c8e-a8d8-54146e22af21"
educational psychologist,http://data.europa.eu/esco/occupation/4f5bc9a5-e989-409b-bfb5-973b472163cd,"Educational psychologists are psychologists employed by educational institutions to provide psychological and emotional support to students in need. They are specialised in the provision of direct support and interventions to students, conducting psychological testing and assessment, and consulting with families, teachers and other school-based student support professionals, such as school social workers and educational counsellors, about the students. They may also work with the school administration to improve practical support strategies in order to improve the students' well-being.","http://data.europa.eu/esco/skill/14dc991f-1b21-413d-86a3-499e6676abb9,http://data.europa.eu/esco/skill/ed57378a-2b27-4d80-8701-124e559cf17d,http://data.europa.eu/esco/skill/8ad984cf-6506-42ee-8d15-0ac571be0354,http://data.europa.eu/esco/skill/3757c242-0042-4940-aedb-2af63e080dba,http://data.europa.eu/esco/skill/94f2935b-b4ac-446e-9775-60b4239d016c,http://data.europa.eu/esco/skill/7ecd9100-1deb-4df5-91d3-5f25d4ca450e,http://data.europa.eu/esco/skill/7bdcdadb-146c-475f-8cff-921c6fd5f858,http://data.europa.eu/esco/skill/b5af495b-61f1-4330-9891-dca56d97d714,http://data.europa.eu/esco/skill/71531af4-6d65-432b-a435-e69baa358be4,http://data.europa.eu/esco/skill/a17286c5-238d-4f0b-bc24-29e9121345de,http://data.europa.eu/esco/skill/1b8872bd-d869-4b08-b9b2-296d2b1c644c,http://data.europa.eu/esco/skill/3d3db1e7-b041-495e-8a93-deeacded8a2f,http://data.europa.eu/esco/skill/604e5cd2-559a-4d49-a1a2-e43b2b472fee,http://data.europa.eu/esco/skill/f7940b22-764a-43f0-9642-f60f5897109b,http://data.europa.eu/esco/skill/ad2552dc-fa50-417f-8d05-493089242fd2,http://data.europa.eu/esco/skill/36fe44b2-af36-4467-9be8-601e64b3dbc7","http://data.europa.eu/esco/skill/bfe4f330-d595-48c7-ab3c-f309471d6953,http://data.europa.eu/esco/skill/9ccecb58-e720-4465-b309-46e362ca6f75,http://data.europa.eu/esco/skill/8e261d1c-12c0-498e-bfc2-ec0c16496c68,http://data.europa.eu/esco/skill/4e3db6d7-88b8-492d-89e5-a93d01c3e369,http://data.europa.eu/esco/skill/50b631f8-1ed7-46f5-9b47-96169d06c726,http://data.europa.eu/esco/skill/868fc91a-f988-48e2-81e5-33e1b3de0ac2,http://data.europa.eu/esco/skill/621391ab-1187-4705-a0cb-a7b1a6d2b664,http://data.europa.eu/esco/skill/b24b1b8e-bc16-4280-a599-8e2ee1ed962b","http://data.europa.eu/esco/skill/49dd67a9-d0a6-4375-b856-85e09032fdac,http://data.europa.eu/esco/skill/d40fc63c-558e-4107-8b19-fde1dae16eb5,http://data.europa.eu/esco/skill/334cd662-0415-44ac-bc8a-e24b320b4284,http://data.europa.eu/esco/skill/0ee7b0d6-db98-4785-9948-f2ef415d155a,http://data.europa.eu/esco/skill/e9160feb-109a-41eb-9604-9f898c710d0f,http://data.europa.eu/esco/skill/3cd304db-9df0-4f22-9759-9ed86155876c,http://data.europa.eu/esco/skill/19bf4fdc-c0aa-40c5-b531-35ed408067a8,http://data.europa.eu/esco/skill/09f159aa-2745-4ab0-a050-96722a2269b9,http://data.europa.eu/esco/skill/11f536f5-b0e2-46a6-95c1-bd765946604c,http://data.europa.eu/esco/skill/a65fb963-6faf-47b2-a3d9-c4e5e4d833c5,http://data.europa.eu/esco/skill/979cf728-896f-4f2c-8fa8-2698ca0d4930","http://data.europa.eu/esco/skill/4b9b1bc5-a1a9-4172-a669-509f94a479dc,http://data.europa.eu/esco/skill/31b67516-af16-4b97-8430-a8a8e0f84190,http://data.europa.eu/esco/skill/731101d9-94bc-4805-bff4-9578d1bf03b5,http://data.europa.eu/esco/skill/57beaad1-7c5e-4b17-a35f-31f49e1d7378,http://data.europa.eu/esco/skill/ed3f3dba-3a35-4ed5-b113-67f4d10ef4c8,http://data.europa.eu/esco/skill/d04e4bde-05fa-499c-9237-1fe5e4560525,http://data.europa.eu/esco/skill/135192cb-84e4-4b70-8946-fbe5041b26cd,http://data.europa.eu/esco/skill/b78a32fd-e99b-4b65-a01e-4b43b3b90167,http://data.europa.eu/esco/skill/4b3c8605-819d-4b38-83fc-f23663e78dc9,http://data.europa.eu/esco/skill/8e839bce-38f0-472d-8792-9b7c12b197ef"
